x =          6549.45822, cost(x) =         8.48380e+63
x =             0.00000, cost(x) =        -8.93192e+01
x =          2450.02484, cost(x) =         2.76663e+33
x =          9672.25698, cost(x) =         3.60336e+66
x =          1226.00960, cost(x) =         1.07782e+46
x =         11933.88768, cost(x) =        -3.05103e+31
x =         -5703.70959, cost(x) =        -1.97685e+06
x =          9889.41649, cost(x) =         3.39895e+21
x =          1761.82907, cost(x) =         8.01980e+11
x =             0.00000, cost(x) =         5.38575e+02
x =         12685.28893, cost(x) =        -3.25055e+46
x =         19274.00787, cost(x) =        -3.93524e+45
x =         -8063.91783, cost(x) =        -6.38559e+10
x =          5862.64949, cost(x) =         2.84180e+10
x =          1320.72521, cost(x) =         4.80754e+49
